text,labels
Brian called and for some reason I feel like he does not like to talk as long as he used to.,4
Too much to get done too much to deal with.,1
things have been a little hectic with my brother.,6
This Coronavirus thing has really got me worried.,8
i've been dealing with my husband who is an alcoholic.,6
"Work, dealing with this covid has been NUTS!",3
Needless to say I was very upset yesterday.,0
It's so hard with school and stuff.,5
The shelves being empty and not being able to find things we need because of coronaviru.,2
My relationship with my boyfriend's son.,6
This has definately been the worst semester of school that I've ever had.,5
my boss is giving trouble,3
I am sick and tired of people giving me friend advise.,4
high school drama is the worst.,5
The current health situation.,8
We're getting a bunch of work lately and tis STRESSING ME OUT.,3
My daughter is suffering badly from the relationship my mother created between that old man and my child.,6
i don't have time to eat dinner tonight.,8
"I just finished a really stressful math test, I don't think I did too well on it.",5
work stress,3
"I'm getting tired and stuff, so Ill finish here.",2
I am always having arguments with my girlfriend,4
Not knowing whether or not my husband will lose his job due to COVID-19.,3
Got into another fight with my brother.,6
money and how to make it through,7
nobody seems to know how to refil the toilet paper,2
tired frustration is not a good feeling.,8
I've been so stressed about school,5
money issues stress me out,7
trying to earn a little extra cash to pay bills.,7
I have been having some $$$ issues as of late and it has just been really stressful.,7
"oh man, my mom and my brother are screaming at eachother and its driving me insane.",6
jeepney rides always mean grilling my head for a possible story.,2
corona virus,8
I admit i make mistakes i bitch way too much about everything i let things get too me so easily and i am stressed about it way too much.,0
definitely all the bills I have to pay,7
for some reason i did and now im just lonely and depressed and missing him more than i ever thought i would.,4
christmas has been stressing me out!,4
"While that may have contributed, the primary reason is I was just flat tired of being tired, of always getting tired so goddamn fast.",8
i am so unsure of what to make for dinner tonight,1
im just really worried about things lately...idk...,1
By the time I was ready to go into work I was feeling pretty shitty.,3
financial issues have been getting to me,7
i've been having a lot of trouble doing that sleep thing lately. or staying asleep.,8
trying to stay above water in bills,7
"I had to, the cold weather makes my bones ache.",8
my son is getting ready to graduate and we're trying to get him college scholarships.,5
I had a hard time getting to sleep I'll admit.,8
I am stressing about my brother and how he is doing. He hasn't been doing well.,6
Alex still hasn't caught up on all his missed school work from last quarter.,5
My health has been so bad lately that I just couldn't do it.,8
work!,2
girl christmas is coming up and i dont have any money to buy my children anything.,7
i got passed over for a promotion at work.,3
the constant schedule change at my job.,3
i feel sad that i dont spend enough time with my parents.,6
I need someone to talk with since I'm quarintined.,4
"He's not who I thought he was, and he can't handle the emotional complexity that tends to be created in my relationships.",4
I'm so tired of not knowing what I want to do.,2
My mom was taken to the hospital by ambulance yesterday afternoon.,6
"I'm trying very hard not to spend money because I've been spending too much lately, which means eating up the food I already bought and not buying new stuff.",7
"work, stupid people, money..you?",3
Kids dont' get to know their parents and parents dont get to know their kids.,6
I just have been feeling this frustration about how to prioritize.,1
school football stress headache,8
i felt so bad for sara on wednesday because she was so upset because her mom can be really harsh.,2
"When I'm all depressed about shit in my life, THIS has to happen.",0
So I'm frustrated and it takes me back to the drawing board of not really being sure what to do.,1
i am just so fed up with the boss and his lack of intelligence,3
i havent been sleeping well lately.,8
changes in work schedule,3
My roommates are pissing me off.,4
i hear that there may be a storm coming and i work outside.,3
My allergies have been going haywire....I've been working alot lately....,8
"This stress puts stress on my relationship with other people, and I really hate it.",4
school,5
"He began to tell me how his life fell apart, and his family abandoned him because he couldn't get his life back together.",6
"Things have been so dramatic and stressful for me, lately.",0
what a hard thing to accomplish in the hustle and bustle of every day!,1
I think im suffering from depression or something because Ive been so sad lately.,0
im stressed about losing my job,3
"not to sound rude, sometimes i get sick of my friends cause a lot of the time i dont feel like i fit in with them.",4
Laura had been going out with her boyfriend for almost a year and just this past week she went through a really messy breakup with him.,4
almost. are you getting tired yet of my anxious posts about leaving for school? too bad.,5
School is really starting to stress me out!,5
Well lately I've been trying to email a company and they don't answer,7
he lost his and really needs money cuz hes got bills ha.,7
"I'm tired, and I am tired of being sick and vice versa.",8
my son stresses me out in the morning-he refuses to concentrate on getting ready and fre,6
i have a terrible headache,8
I can't provide for them if I drop school.,5
Me and my boyfriend broke up and he is moving out of my house,4
my new boss at work is very power hungry.  it's gotten very bad.,3
"hmmm, but this weekend spent a lot of time thinking on where i am going to go to college. . .",5
"I'm really tired and have been feeling kinda bummed lately, and my lesson wasn't that great either.",0
i need to get working on my homework and i don't want to! and my grades suck! and midterms come out in like a week or two,5
"I am starting to get really nervous for finals, I should really start studying so I dont fail them.",5
I am frustrated about being laid off after next week.,3
"So, he and I have to have a talk about calling me and being like ""Something came up talk to you ASAP"" Ok?",4
I'm sorry to be such a pain around the holidays.,4
this is very stressful with school etc.,5
"Recently, I've been stressed about finishing my school work on time",5
trying to make everyone happy at work.,3
"I've spent the last couple of days second guessing myself, and beating myself up about making that decision.",1
I'm hungry and there's NOTHING to eat in this house.,2
"Mad depression is really, really bad and makes me want to drink.",8
My manager keeps stressing me out a work,3
I am really stressed about my pups kidney disease.  It is getting worse.,0
So bad that i now have a massive headache!!!!!,8
getting to graduation with the best GPA possible,5
"Because of all my emotional burdens, I have become apathetic and have no drive to excel academically.",5
I'm tired of being this person my mom and family expect me to be.,6
"She's been sick, and I'm worried that she's worried about a ton of things.",8
getting everything together to go to houston for a family members heart surgery.,6
"I'm not working due to Covid, so everything feels stressful",3
"truthfully, it's hard to get into that mindset again, especially since I am so upset at the net.",0
not being able to say no when i need to.,0
I just have horrible relationships with people lately.,4
"hey, i called you three times last week no answer, what's the problem?",4
covid-19 is all over my town and i'm afraid to die!,8
i feel like i cant balance between all of my reponsibilities,1
"I simply don't know how I feel about everything that's happening in my life, making it hard to rationalize and internalize everything.",0
I got a tonne of other shit now i have to worry about especially with me becoming Assisstant Manager at work.,3
my baby is learning to climb out of her crib,2
i m stressing out over the holidays.,4
preparing for the wedding,2
Family home all day. No me time. Too much noise. Can't work easily.,6
"STRESSFUL i have stressed out about school, my friends, my parents, my so called life that i'm leading.",5
"It doesn't sound professional at all, it all seems very emotional and desperate.",2
i have to choose between stressfull well-paid job and a better job with pay cut.,3
"I had a lot of trouble getting to sleep, despite my being extremely tired.",8
my facebook might have been hacked.,2
I'm stressed out about the coronavirus and everything being shut down,0
I am so stressed with COVID crapy and my romantic girlfriend's medical diagnosis .,8
He didn't feel good and he was tired.,8
class is boring....unable to focus,5
Things are getting threatened because im not doing good in school but yet i keep reasuring that iam and i know there in for a big dissapointment.,5
"mostly about school work, upcoming exams and grades",5
"im tired tho, dont know if ill be able to stay awake.",8
i have exams next week but i have not studied enough.,5
"I tried to talk to him, when all I wanted to do was give him a friendlt hug back, but given our history, I didn't think it was appropriate.",4
It was stressful UP TO THE LAST MINUTE (with getting it printed and whatnot). .,2
"To make things worse, I'm four weeks out of knee surgery and long periods of standing can be quite painful.",8
just trying to motivate myself to do things that need to be done,0
The list of things I need to do is rather overwhelming because I'm so tired right now and possibly getting sick.,8
i have a lot of work to do and i am worried i won't get it all done,3
i have been having a hard time finding a job,3
I feel like my life is one bad decision after the next.,1
"they're holding the house for us to make a decision, which seems to be very difficult.",2
During this entier time.. I was bitching about roommates.,4
school has been stressing me a lot recently.,5
"with all that my nieces and nephews are going through, I just don't have the heart to tell them that they can't bring their pets.",6
sudden bill came up,7
i'm really stressed about money at the moment,7
My uncle yelled at me.,6
"Pain so bad that I couldn't eat, sleep, pee, walk, etc.",8
I should get some homework done but I dont feel good enough to move.,5
my friend is angry with me . and she did not talking to me.. i can not convence her . it,4
"There is so much to do at work, I don't have enough time it seems.",3
I'm getting really nervous for when my dad leaves.,6
traffic becomes a bitch.,2
This whole COVID thing. I can't do anything right now!,8
"our friends don't come through, our finances are always wanting, and our appetite is never satisfied.",7
the upcoming spring college semester.,5
difficult people at work,3
Context matters. Manipulating the Iranian hostage situation matters.,2
i had a very tiring day at work.,3
jacki's dad is going in for surgery tomorrow.,8
Because its not easy dealing with him when he is all stressed out about something.,4
I haven't been getting any sleep lately and I am very tired.,8
"On their lives, they could not count enough cash to pay the bill.",7
my significant other resents the amount of time I am at work,4
"i'm just having growing pains and with those, comes the desperate hope of this being my last day here.",0
a lot of stuff has been bothering me lately. one would be my work situation.,3
Found out I need surgery next week to remove what is causing the pain.,8
Covid-19 it laid of my husband from work. My surgery got postponed.,8
O man big mistake telling emily what was wrong because now she doesnt like my best friend.,4
"Your Actual Problem Anxiety and a restless dissatisfaction, either with circumstances or with unfulfilled emotional requirements, have produced considerable stress.",0
it is stressful to watch the cleveland browns football games.,0
i'm just super anxious about things lately. anxious to the point of not being able to really accomplish too many things because i just get too anxious.,2
My dad's been getting all insecure about it.,6
i'm a self-employed musician and work is slow right now.,3
Money is tight though and I have to pay off these stupid student loans.,7
IM REALLY HUNGRY AND THERES NO FOOD LEFT IN MY HOUSE CAUSE I ATE JUST ABOUT UH..ALL OF IT?,1
work has been crazy! we have had to make some organizational changes in my department.,3
"When day passes by each day, I'm feeling the kick of dreading to work.",3
i'm chasing deadlines in my work projects.,3
my project is due tomorrow and i'm not done yet.,5
I am having trouble lately motivating myself to do the things I have to.,0
"I was worried, like a stupid human, about my needs in life.",1
I guess stress put the pounds on and I have been emotionally eating because of it.,8
I am worried about pandamic,8
it's the last week of school but im going to be so busy it isn't kosher.,5
having to host christmas every year for adults that never reciprocate.,4
"So first they are pissed off on what Im going to major in, in college.",5
trying to find a new job is hard. bills do not stop.,3
i hate how school creates a lack of anything interesting to talk about.,5
my income is not proper and its difficult for me to run a normal life with specific need,7
Trying to buy groceries yet avoid people.,1
I'm stressed about my finances because of COVID and entering grad school.,5
The uncertainty about my workload over the next couple months is stressing me out.,3
that i want to leave my husband,4
my date,4
I'm having an actual and real mental and emotional breakdown. I'm lost and depressed.,0
Not knowing who will be next to get the COVID-19 virus.,0
now between school and work and childcare and everything else there isnt any time left for us.,6
i am so tired of being so sick,8
Being laid off from work,3
"my car broke down again, but i can't afford a new one.",7
My girlfriend broke up with me.,4
"That's two weeks ago now, and I'm fed up with waiting.",2
"I hate how emotional I get on my period, it makes me crazy.",0
Hey!  This coronavirus is stressing me out!  When will it end?,8
"i haven't even finished the one summer reading book, which report's due five days after school starts.",5
A bit of stress in the whole personal relationships thing.,4
i'm really worried about my appointment with dr. bean.,8
It's like everyday I have to struggle just to get by and I don't even know why I bother.,1
We had a lot to do and not enough time to finish it all.,3
Yeah. + I've been really paranoid about how I talk lately.,2
we just bought a house and now i am stressing about moving.,1
worried about paying bills on time,7
"i have so much anxiety and stress, i mean, i've always had it, but its getting harder and harder to ignore.",0
"now my laptop still isn't working properly, so I have to bring it BACK in, which is becoming a real bitch.",2
I'm getting sick of babysitting.,3
i m stressed about getting hours cut to a minimum of 30 hours a week,3
"sometimes, i feel like my husband doesn't listen to me well.",6
Work is straight up killing me,3
"I was getting very stressed out about my university applications, along with the stresses of high school, itself.",5
paying for the wedding.,7
I am worried about how long we will have to be socially distant.,2
I am stressful about no job and need to feed my 4 months old baby.,7
My parents are being all wierd lately.,6
School is just so stressful.,5
i have some finacial issues going on i dont  know what to do,7
I'm just concerned about not making enough money this month,7
"If we are ever going to get out of this ridiculous situation, I need to be working.",3
i've been having a hard time emotionally and financially lately.,7
"I have been frustrated, trying to sort things out.",1
i am feeling stuck in my career.,3
i'm feeling super stressed about work.,3
That means that I'm majorly stressed out with everything going on in my life.,0
this overseas move and trying to figure out how we will move the dogs.,6
i've been stressing out about my money situation,7
Living Reseda makes me increasingly uncomfortable every time something like this happens.,2
i have been stressed about finding a job given all of the recent events going on,3
the class has tirned out to be the worse class ever.,5
Got a headache from stress and not eating.,8
thanksgiving is next week.,2
i had to move to a new house.,2
i am having issues with my ex husband.  he is wanting to move from town and take our son,6
the corono virus - wanting to leave the house but don't want to die,8
"I am a little sad because it is cold, it is windy, I don't have a warm enough coat, and it's later then I wanted it to be.",2
This week in particular is going to be crazy with the school work.,5
work stress...my computer has a virus or something and is locking up. :(,3
"I don't handle stress very well, I think.",0
i'm pretty hungry and there's no food at my house.,8
im guna be busy all day today and first of all im fucking tired as shit and its after 12 30.,2
"i am getting super stressed out about school, and i do not heart that.",5
"Well, today, my foot started hurting.",8
it's very frustrating finally having a means to acheive these things but not being able to take action.,1
money that's one of the first thing to work out for a stress,7
All the panic about the global pandemic has been stressing me out!,0
"I quarelled with my boyfriend , im so stressed out, he will be moving out.",4
having to meet time deadlines at work.,3
I'm tired of feeling like i'm bipolar in decisions that i make in my life.,0
i found nothing at the beach today,2
My mom was upset that he didn't do bloodwork to figure out my fatigue problem.,8
work has been stressful.very political always watching my back.always have my guard up.,3
The recurrent nightmare I had since my uncle's death when I was twelve years old.,0
big trip home,6
"Since being back at school, I've had to cram weeks' worth of information into days, give open note tests because of the ridiculous pace, and pile on the homework.",5
The virus spreading the world,8
You are experiencing extreme emotional disappointment because it would seem that a particular relationship is no longer running smoothly.,4
"hey, want to grab a bite to eat and chat. could really use a break.",2
Work has actually been pissing me off lately.,3
i got stress out because our neighbor called a police because our dog attack their cat,4
All night long Ashley was hissing and growling and scaring the pants off poor Tizzy so she cried all night.,4
we are having a difficult time financially.,7
i don't seem to have enough time during the day to finish pages on my bullet journal.,3
All my friends here had the flu.,8
i'm not making enough money to make ends meet.,7
"Morning sickness, weird food cravings, wired up emotions.",8
the whole world is against me. to all of you who have said,0
"He was constantly in pain, not even the high dose of medicine the hospital would give him would even do anything.",8
"I've not been home in awhile,..so most of my food had gotten sad.",2
i'm stressed out about my financial situation.,7
"seriously, is it like joking angry? i'm freaked out because i have so much bloody homework.",5
just dealing with managing work/home life balance and feeling guilty about it.,6
"i had a head ache, back ache and tooth ache.",8
work sucks! boring and not satisfying,3
I feel like a bad person. I need to get away for a day.,2
This school year has eben stressful.,5
we have been stressing over how we will pay our phone bill next week,7
classes at my college,5
"I want so so badly to make them feel better, but we all know it's tough to cheer someone up when they've set their mind on being depressed.",4
The fact that I have online classes and not in class lectures,5
"My girlfriend's been going through a tough emotional time now and she's been feeling overloaded with everyone else's problems, so she kind of burrowed into her shell for a bit.",0
money. between trying to get things listed and bringing the stuff down from the attic.,7
The COVID-19 pandemic is really stressing me out. My state should do a full lockdown.,8
"Wait, I don't have any money so scratch that idea.",7
COVID-19 has been stressing me out!,8
i totaled my car and i need another car asap.,7
The currently going corona virus situation.,8
I am focusing on paying back a loan.,7
getting to my college classes this weekend,5
"We are in dire need of a nice place to refer, especially since the incident with the heart medication dog.",2
the lack of qualified clients.,3
like totally depressed. dont wanna see or talk to anyone.,0
I've been really stressed about the coronavirus and the quarantine.,8
"I'm way behind, the last 2 days have been kind of crazy, I'm trying to get stuff back in order.",1
I'm tired of: not getting paid by res life9.,3
work has been stressing me out,3
work has been very busy.,3
"life in general has been stressful, thank you for asking.",1
i have a crazy employee who is not reliable and is uncooperative.,3
my quarantine,0
My last semester of college was cancelled and I am sad.,5
not understanding these instructions.,2
"balancing working enough to pay bills, but also not overworking.",3
2 weeks till my first 2 exams.,5
Which really sucks cause I have no money.,7
I've been furloughed so I'm not sure if my job is going to be safe.,3
im not gonna accomplish anything in my room all the time.,2
I have been feeling really bad about the way that things have been going on lately.,0
"I'm getting sick of this, because it doesn't seem to be getting better and I have stuff to do.",1
there has been some passive-aggressive behavior from my boss.,3
My parents are driveing me INSANE here.,6
hey! i've been stressing about school. everything is getting difficult.,5
something's just not right....i've got a bad feeling about the next few days.,0
Which has been a big problem for me trying to relax.,0
"She was a little upset because she knows how some people get when they get boyfriends, and she was scared of losing our friendship.",4
i have been stressing about getting enough exercise in now that it is so cold.,8
"i'm overwhelmed, need a day away from this house! going stir crazy.",6
My mom was so worried about us..,6
i just can't seem to make enough money for this family.,7
ohh man work is just killing me today,3
There will be questions I have no answers to and it seems to be the story of my life lately.,1
"It has been your experience that once you lose control to indulgent habits, for example, smoking, drinking, or emotional outbursts, it is very difficult to retain control.",0
"School was tiring, and I had a TON of homework.",5
"I can't get my head round school work even though I don't have a vast amount, I just can't focus on it.",5
having to replace the carpets in our living room.,1
So new friends of mine why are you being so difficult to hang out??,4
"I'm freaking out, I need this so bad.",2
School has been driving me nuts.,5
but I didn't sleep very well.,8
My lack of workout time.,8
we've been struggling financially for awhile.,7
i havent been able to make as much money as i need to pay rent.,7
"School has become a chore- a constant assignment and headache, that I suffer through and try to forget.",5
the fact that I have been laid off due to the coronavirus with no prospects,3
my family problems and stressful office work,3
i have been going through a tough time at work can we meet for coffee?,3
Stuff I had planned is being canceled bc of the pandemic,4
Trying to complete these reports before the deadline.,3
the situation about the coronavirous,8
it's hard to get the tulsa libertarian party to agree to meet.,2
The COV-19 virus is definitely scaring me.,8
"I am supposed to be writing a paper for my class on Monday, but I can't find my notebook for that class anywhere.",5
The Coronavirus has been really stressful.,8
Not being able to do this with anyone makes me sad.,0
"Haven't had the energy for blogging, or beads, or astrology, or anything.",8
well my mom has been very sick.,6
"Of course, any actual productivity is hindered by my perpetual lack of energy and motivation.",0
"But even when I was there, she wasn't doing too well physically.",8
i've been really stressed out about money lately.,7
"My car still hasn't been fixed, it really sucks.. I've really been missing how my life used to be .. yeah",2
My mom is pissed off at me.,6
"I can't help my mom get over her past, nor my father his, and it feels like my sister's hanging off a ledge and I can't pull her back up.",6
"This is a huge burden, and my mom feels bad.",6
I've been trying to reach Jessica for a week and its just not working out!,4
work has been really stressful,3
I hate how Buffi and JJ freak out everytime I get sick and think i need to go to the hospital.,4
"I'm leaning over to the don't finish school, but I have some small hopes of finishing, passing.",5
how I have so much work to do and not enough time. Fuck.,3
"As far as being alone goes, that has been bothering me the most lately.",0
"I'm very frustrated right now, as I do get from time to time, because of the worries of the future pressing on me.",1
"That is I am a freshman, and my first semester is 18 FRIGGEN credit hours.",5
Kira was sick and dying today so she couldnt make it.,8
School because it's soo boring.,5
I feel really lonely and depressed.,0
i'am really weak.,8
my life is falling apart.,0
don't know what to cook for dinner,2
I had an assignment for I forgot about,5
my boss whats more production from me at work!,3
War just really scares me.,2
I lost money on Tesla today.,7
I'm scared of what my family will say.,6
"i feel bad,i have been really bitchy to mom lately.",6
All of my classes moving online,5
uhh im tired and i've had a headache for three days now.,8
Both of us were sick that day and we were fussy and frustrated as we didn't know what to do and expect.,8
"Hi, This COVID-19 pandemic is stressing me out lot. Not able to go out.",0
"Wtf, I am so overly emotional.",0
i'm sure i'm probably missing a bunch of stuff at school that will take me all week to make up.,5
i'm having some trouble at work.,3
"Not to start off sounding bitter, but work really sucks lately and I'm currently trying to find another job.",3
"So, what will this weekend hold? Probly me procrastinating for studying for finals most of the time",5
my fiance is in jail,0
moving,1
My head hurts and i have to read about lean logistics.,8
"Sadly, one of the kittens died the second night I had them",0
my uncle died and i'm worried my aunt will get super depressed without him,0
Trying to get a Refund $79.93  from hughesnet - hughesnet has been blocking it.,7
i'm tired of thinking. what the fuck am i accomplishing in my life at this moment.,0
"Out of frustration, I can get impatient with this, especially when it happens multiple times a day, every day.",0
"I am exhausted from long, tedious, emotional, gut wrenching conversation I had with my parents.",6
thats about it ill be busy studying for finals this weekend so cya some other time.,5
hey friend i've been taking care of my mother on a daily and it has me stressed out.,6
worried about my folks and this virius.,4
They traumatized my poor old dog.,2
When I get depressed like this I worry.. I worry that I'll do or say something wrong or not do something and push her away.,0
yo! heavy workload this wk!,3
i'm just stressting as i can't figure out when they'll release my favovite show on dvd.,2
i'm worried about moving,2
My friend called me saying that her boyfriend broke up with her.,4
"Today I finally have to go back and work, and I am not happy about that idea.",3
i just don't have any time between work and kids and home,6
I have been struggling a bit with myself and things emotionally lately.,0
The Covid-19 pandemic,7
well i got sick of hearing about that stuff cuz i didnt have a job or stupid friends or anything.,7
I didn't have as much money saved as I'd have liked.,7
i'm stressed about school and therapy.,5
being in the hospital for several days,8
"my dad injured his hand about a month, 6 weeks ago",6
"That is to say, my real life one cat was two dream cats and they both died at the same time and I had to bury them.",0
my foot got stepped on and is now bruised.,8
"I was barely able to maintain any retail shows, and thats where the serious money is.",7
i feel like everythings just piling up on me and i can't deal with massive stress.,1
"One of my good friends is having issues, and he doesnt know what to do.",4
I feel frustrated by how long it is taking to finish household tasks. 2.,2
"we worked on stalled today as well. and yet, i still feel confused and diluted.",0
Work has me so stressed you wouldn't believe! It's a nightmare.,3
The coronavirus,8
"hm, dinner with christopher the night before last was hard.",4
my diet/fasting is stressing me at the moment.,8
"It will help to remind me that ALL moms have irrational fears of being inadequate, and that all of us suffer pain and frustration and exhaustion.",0
i have recently gone back to school and it is hard finding balance,5
we went to robins long lost grandparents house and we cryed cause it was so sad. and,6
i've been stressing a lot about school,5
im feeling a little bit stress about work and ive had a very long day.,3
"having a rough day, not feeling too well.",0
my son challenging every thing he is ordered to do,6
"your family, and your very impressionable children about a basic requirement for life is NOT OKAY!",6
we lost our payday for our last job.,7
dealing with illness along with my wife,8
This whole pandemic crisis is stressful and very concerning,8
my brother just found out he has cancer,8
work! people don't respect each other's roles.,3
I am stressed about finding necessary hygiene items right now with others stockpiling.,8
Ok so she has attachment issues I guess but I still dont understand how a good friend would leave with no problem.,4
I've been struggling so much with the admin and the boring side of life and its taken over a bit and I don't like it.,1
Co-vid! Isn't that what's stressing us all out?,8
An exam at school that everyone is saying you can't pass.,5
It the constant stomach problems that are currently really starting to aggravate me.,8
Not making enough money at work.,7
I think I might end up spraining it if I don't get a brace for it or something.,8
our toilet overflowed and water poured down to the first floor!,2
Maybe it's because I'm calling your vet to discuss your dog's wart and how you terribly afraid it might be cancerous.,6
By the time I got home I was feeling real pain.,8
"my emotions are so up and down lately, i dunno what im gonna do.",0
paperwork and money and stuff seriously stress me out and make me want to barf..but its important..so yes. im officially scared.,7
The spread of the coronavirus is really scary.,8
i threw my husband that birthday party for a bunch of people.,2
Having to be stuck at home. This quarantine is really messing with me.,0
Thank you for replying. Yes there have been some recent events that have stressed me out,2
My mom just got diagnosed with breast cancer and that is kind of scary.,6
Ok everytime I try to write something on this thing I get really tired... anybody know why?,2
the new assistant at the lab is not really helpful,3
my mother and sister got into a fight and are no longer speaking.,6
"work, it has been a stressful week! hope it gets better",3
i'm stressed about finding a job,3
My ankle is still sore.,8
school is absolutely killing me right now.,5
i'm 6 months pregnant working a very tiring job.,3
i do not know what to eat,1
hey dude evening free,2
"All the first week of my trip I had been having searing headaches, and I thought it might be because of the time change and lack of sleep and everything.",8
"bills. with the holidays coming up, i just don't know how i'm going to manage.",7
"Seems like I am pretty stressed lately, eh, I guess I just have a lot on my mind.",0
my husband is not well.  he has heart problems and diabetes.,8
I have to go to work...me am not too happy about that.,3
my sister is on my ass,6
No idea what I'm going to cook for dinner.,2
Wold probly releive a lot of stress I have built up.,0
I am stressed about returning to work when we are not yet prepared.,3
i'm not getting along with my husband.,6
i'm studying for a high stakes exam,5
I feel like my Manager is unfair,3
i am trying to interact with a person who at times is in a bad mood,4
i have a deadline at work,3
"In other news, I'm not really sure what's going on with me health wise.",8
Except that fact that my family drives me crazy.,6
I've been planning on cleaning but then stupid stuff like getting my car fixed happens and I'm never there.,1
It's saying that he's cheating on his girlfriend for someone he truely cares about.,4
"It's not good for him, screws up his body clock, then he can't concentrate for school.. lol..",5
"getting my body in better shape, especially tightening my stomach.",8
my relationship with my boyfriend.,4
Our Dog Passed away after 12 years.,0
My boss had been sick for a couple of days and got hammered with other appointments.,3
"dude i am so stressed out about moving to nevada , i hate it.",2
I feel old my youngest Sammie she is only 5 she lost her first tooth yesterday.,0
boss keeps piling me up with work,3
my girlfriend just broke up with me,4
It seems that Patrick isn't fond of the company I've started keeping lately.,4
"ugh..alix needs to call, i need closure on this shit.",4
scheduling is stressing me out more than normal this semester.,5
Hard day at work and kind of tiring.,3
This job is hazardous to my health.,3
Snivling little landlords make me sick.,7
my upcoming trip to denver got cancelled and my govball tickets were cancelled!,2
I have to be a student again and I don't like it.,5
driving my kids all over town is getting crazy and really stressing me out,6
i can't seem to find a job anywhere.,3
The world is involved in a global pandemic and we have been told to isolate ourselves,8
I have been stressing about COVID-19,0
work is busy and i'm not getting it done on time,3
"You're the reason I can't trust people, the reason I hate talking, and the reason I'm so violent and internally rebellious.",4
My bosses were annoying me especially.,3
i'm just really upset right now and i hope it will get better.,0
Taking it day by day but starting to feel like a prisoner.,0
i'm pretty stressed about school i didnt do very well on my test,5
I ahve been thinking alot about work lately and Im starting to think that maybe Im not so happy here.,3
me and my friend are not talking to each other,4
"i'm sick and tired of working long hours and not getting enough pay, this is shitless!",3
He's a friend that hasn't had much positive stability in his life.,4
then you take it to school because you have issues.,5
my love life. i can't stop. i won't stop. not sure if this feeling will ever go away.,4
Today's weird. I think I've just been in kind of a rut lately.,2
"hi dear friend, I had stress because of my work . please give me idea to relax.",3
I have a lot of homework due for next week.,5
lately at work i've been stressed out due to a toxic environment with my coworkers.,3
My Ex has been bugging me lately and I was upset...,4
So its been a major pain in my ass trying to get into ONE LAST CLASS!,5
"i have very little money in my account, i can't make ends meet.",7
My credit isn't good enough for a loan.,7
"Tony's cooking tonight, and he has absolutely no sense of taste.",2
work is so ridiculously busy and we have little direction.,3
keeping an eye on the tenants,4
the uncertainty of my relationship is stressing me out.,0
There is a pandemic and it is dangerous to leave the house.,8
trying to figure out how to grow my business.,3
I've had to work more hours,3
my stress timing is loss of many things.,1
it's getting reallyt hard to keep this chin up day after day after fucked up day.,0
Finding a job! It's been so draining.,3
i'm feeling kind of bad about how i seem pressed for time from all angles,0
"I am getting really fed up with my boyfriend, as he keeps pulling all sorts of crap on me.",4
my new job.,3
pregnancy and the coronavirus,8
what hasn't? mostly a sick pet though. it hurts to see his pain.,0
God knows my mom and dad don't want me.,6
My roomate is having some crazy boyfriend problems.,4
oh my gosh! i have been drowning in school work.,5
